Date,ORDCI Development  Activity Index ,ORDCI Development Activity Index (7DMA),Pulse Scores ,Core Index Price
2/7/2020,307.8632479,296.4346764,53.03598331,1069.47
2/8/2020,68.03418803,299.8534799,53.98664356,1076.53
2/9/2020,76.75213675,300.7814408,55.34345381,1102.1
2/10/2020,411.2820513,303.8095238,54.44860178,1079.4
2/11/2020,319.4871795,311.1355311,56.51665338,1112.22
2/12/2020,348.8888889,313.6263736,58.78703471,1140.78
2/13/2020,365.1282051,316.1660562,58.27703111,1144.16
2/14/2020,263.4188034,319.2673993,58.39703039,1146.97
2/15/2020,85.12820513,319.9145299,58.52970366,1118.41
2/16/2020,52.64957265,290.4884005,58.74741088,1096.37
2/17/2020,264.7863248,264.017094,60.36576577,1072.41
2/18/2020,317.4358974,256.6300366,59.90836811,1100.46
2/19/2020,334.5299145,253.6630037,58.74683306,1133.04
2/20/2020,303.9316239,256.3736264,57.62080862,1061.36
2/21/2020,302.2222222,251.3797314,56.61032186,1082.42
2/22/2020,68.37606838,250.976801,55.5902157,1072.63
2/23/2020,32.30769231,251.001221,55.14894652,1101.56
2/24/2020,258.974359,247.8266178,53.51395878,1083.53
2/25/2020,302.3931624,236.9474969,53.73005136,1042.91
2/26/2020,332.4786325,235.7264957,53.7776785,987.34
2/27/2020,267.008547,234.5543346,54.65401558,976.2
2/28/2020,258.8034188,227.5457875,56.17869188,961.19
2/29/2020,57.94871795,227.2161172,55.99062335,954.07
3/1/2020,48.03418803,225.2747253,56.21517161,942.69
3/2/2020,287.6923077,224.9450549,57.0087077,973.26
3/3/2020,309.2307692,226.5811966,56.32915108,964.34
3/4/2020,291.7948718,225.995116,55.24939199,957.31
3/5/2020,350.4273504,222.9426129,55.32156963,999.07
3/6/2020,298.4615385,226.2637363,54.86044379,994.31
3/7/2020,68.20512821,225.995116,55.17465777,1011.74
3/8/2020,55.04273504,225.982906,55.27652027,923.34
3/9/2020,289.9145299,227.6068376,56.37313475,846.69
3/10/2020,333.6752137,229.8168498,57.45040812,848.98
3/11/2020,321.7094017,232.0512821,57.91931263,847.77
3/12/2020,307.3504274,231.2820513,59.84761173,660.18
