,asset,time,HashRate,ReferenceRateUSD
131,btc,2015-05-12 00:00:00+00:00,355254.924230516,242.24983722969
132,btc,2015-05-13 00:00:00+00:00,383675.318168957,242.209092051432
133,btc,2015-05-14 00:00:00+00:00,364728.388876663,236.550265926359
134,btc,2015-05-15 00:00:00+00:00,348149.825745906,236.948916715371
135,btc,2015-05-16 00:00:00+00:00,312624.333322854,237.484502337814
136,btc,2015-05-17 00:00:00+00:00,410256.527852824,235.812134424313
137,btc,2015-05-18 00:00:00+00:00,349377.602526406,236.963682933957
138,btc,2015-05-19 00:00:00+00:00,315410.335614117,232.88384961543
139,btc,2015-05-20 00:00:00+00:00,351803.835877284,231.974446814728
140,btc,2015-05-21 00:00:00+00:00,376066.169386062,234.190306253653
141,btc,2015-05-22 00:00:00+00:00,334820.202421139,235.553821741672
142,btc,2015-05-23 00:00:00+00:00,271738.135298316,240.323203682057
143,btc,2015-05-24 00:00:00+00:00,354230.069228162,238.963281706604
144,btc,2015-05-25 00:00:00+00:00,342098.902473773,240.711758328463
145,btc,2015-05-26 00:00:00+00:00,349377.602526406,237.003543249562
146,btc,2015-05-27 00:00:00+00:00,334820.202421139,236.796261250731
147,btc,2015-05-28 00:00:00+00:00,320262.802315872,237.203596434833
148,btc,2015-05-29 00:00:00+00:00,373639.936035185,236.956881940386
149,btc,2015-05-30 00:00:00+00:00,329967.735719384,236.646526592636
150,btc,2015-05-31 00:00:00+00:00,356781.94209336,232.788770017534
151,btc,2015-06-01 00:00:00+00:00,312271.265830991,229.45054792519
152,btc,2015-06-02 00:00:00+00:00,354853.71117158,223.282701928697
153,btc,2015-06-03 00:00:00+00:00,335928.179909096,225.320800993571
154,btc,2015-06-04 00:00:00+00:00,333562.488501286,225.213063413209
155,btc,2015-06-05 00:00:00+00:00,326465.414277854,223.54007685564
156,btc,2015-06-06 00:00:00+00:00,421093.070590275,224.731071887785
157,btc,2015-06-07 00:00:00+00:00,352488.01976377,225.160513150205
158,btc,2015-06-08 00:00:00+00:00,371413.551026254,223.411685856225
159,btc,2015-06-09 00:00:00+00:00,357219.402579391,228.774291350088
160,btc,2015-06-10 00:00:00+00:00,399801.847919981,229.370529514904
161,btc,2015-06-11 00:00:00+00:00,319368.340054422,228.588487434249
162,btc,2015-06-12 00:00:00+00:00,335928.179909096,229.584411747516
163,btc,2015-06-13 00:00:00+00:00,376144.933841875,229.811218510228
164,btc,2015-06-14 00:00:00+00:00,361934.276712658,233.015344535359
165,btc,2015-06-15 00:00:00+00:00,355711.957090776,232.507108708358
166,btc,2015-06-16 00:00:00+00:00,291486.187060497,236.7909628872
167,btc,2015-06-17 00:00:00+00:00,390295.064030157,251.432676797195
168,btc,2015-06-18 00:00:00+00:00,385354.620181674,247.969317650497
169,btc,2015-06-19 00:00:00+00:00,363122.6228635,249.012479544126
170,btc,2015-06-20 00:00:00+00:00,331009.737848361,244.803484219755
171,btc,2015-06-21 00:00:00+00:00,306307.518605946,245.582513150205
172,btc,2015-06-22 00:00:00+00:00,377943.954408949,244.300260081824
173,btc,2015-06-23 00:00:00+00:00,345831.06939381,247.017892460549
174,btc,2015-06-24 00:00:00+00:00,385354.620181674,244.184763296318
175,btc,2015-06-25 00:00:00+00:00,375473.732484708,240.451545295149
176,btc,2015-06-26 00:00:00+00:00,380414.176333191,242.347857685564
177,btc,2015-06-27 00:00:00+00:00,318658.628227153,242.967997369959
178,btc,2015-06-28 00:00:00+00:00,346814.543816443,251.529326709527
179,btc,2015-06-29 00:00:00+00:00,343810.247546963,249.058285797779
180,btc,2015-06-30 00:00:00+00:00,356089.184959355,256.65022238457
181,btc,2015-07-01 00:00:00+00:00,331531.310134572,263.854356864991
182,btc,2015-07-02 00:00:00+00:00,378191.27230166,258.042647574518
183,btc,2015-07-03 00:00:00+00:00,395381.784679008,254.747113383986
184,btc,2015-07-04 00:00:00+00:00,373279.697336703,256.087042833431
185,btc,2015-07-05 00:00:00+00:00,348721.82251192,260.50923962595
186,btc,2015-07-06 00:00:00+00:00,444497.534328574,271.302458211572
187,btc,2015-07-07 00:00:00+00:00,329075.522652093,269.137940093513
188,btc,2015-07-08 00:00:00+00:00,395381.784679008,266.469919053185
189,btc,2015-07-09 00:00:00+00:00,326619.735169615,270.576142898889
190,btc,2015-07-10 00:00:00+00:00,378191.27230166,269.680304792519
191,btc,2015-07-11 00:00:00+00:00,365703.823777367,285.558780829924
192,btc,2015-07-12 00:00:00+00:00,342767.691987456,293.917453828171
193,btc,2015-07-13 00:00:00+00:00,375774.951215878,311.481879894798
194,btc,2015-07-14 00:00:00+00:00,365618.871453287,292.649223845704
195,btc,2015-07-15 00:00:00+00:00,388470.050919117,287.740951490357
196,btc,2015-07-16 00:00:00+00:00,340228.672046808,285.922885447107
197,btc,2015-07-17 00:00:00+00:00,373235.93127523,278.532749269433
