Date,SPX Index,LUATTRUU Index,BBDXY Index,BCOM Index,COIN50I Index,XBTUSD BGN Curncy,XAU Curncy,FEDL01 Index
5/21/2021,4155.86,2468.51,1118.24,90.8946,246.6,35251.36,1881.25,0.06
5/22/2021,4155.86,2468.51,1118.24,90.8946,246.6,35251.36,1881.25,0.06
5/23/2021,4155.86,2468.51,1118.24,90.8946,246.6,35251.36,1881.25,0.06
5/24/2021,4197.05,2471.29,1116,91.5824,235.33,39024.16,1881.02,0.06
5/25/2021,4188.13,2478.54,1115.4,91.3895,245.03,37646.5,1899.25,0.06
5/26/2021,4195.99,2477.01,1118.23,91.6044,260.3,38774.5,1896.67,0.06
5/27/2021,4200.88,2474.02,1117.96,92.8029,267.61,38495.29,1896.54,0.06
5/28/2021,4204.11,2477.44,1118.33,92.8252,241.37,35218.36,1903.77,0.05
5/29/2021,4204.11,2477.44,1118.33,92.8252,241.37,35218.36,1903.77,0.05
5/30/2021,4204.11,2477.44,1118.33,92.8252,241.37,35218.36,1903.77,0.05
5/31/2021,4204.11,2477.44,1116.53,92.8252,241.31,36690.89,1906.87,0.05
6/1/2021,4202.04,2473.14,1117.08,94.139,244.23,36322.98,1900.44,0.06
6/2/2021,4208.12,2474.82,1116.8,94.4461,258.3,37745.13,1908.38,0.06
6/3/2021,4192.85,2470.61,1124.18,93.2629,262.62,38705.27,1870.76,0.06
6/4/2021,4229.89,2480.71,1118.85,94.6845,247.64,37056.79,1891.59,0.06
6/5/2021,4229.89,2480.71,1118.85,94.6845,247.64,37056.79,1891.59,0.06
6/6/2021,4229.89,2480.71,1118.85,94.6845,247.64,37056.79,1891.59,0.06
6/7/2021,4226.52,2478.94,1116.54,94.1594,249.68,34457.74,1899.21,0.06
6/8/2021,4227.26,2483.91,1118.04,94.7736,215.61,33629.96,1892.89,0.06
6/9/2021,4219.55,2489.89,1118.58,94.8034,230.23,36408.39,1888.57,0.06
6/10/2021,4239.18,2495.03,1117.09,95.0283,240.88,36494.56,1898.51,0.06
