,asset,time,HashRate,ReferenceRateUSD
93,btc,2014-04-04 00:00:00+00:00,48534.0160280367,449.441151519579
94,btc,2014-04-05 00:00:00+00:00,47539.4746363803,449.719869736996
95,btc,2014-04-06 00:00:00+00:00,45936.198326456,461.675331482174
96,btc,2014-04-07 00:00:00+00:00,45936.198326456,458.633480544535
97,btc,2014-04-08 00:00:00+00:00,40764.5733493053,448.655275066394
98,btc,2014-04-09 00:00:00+00:00,48978.3306659564,452.803098796026
99,btc,2014-04-10 00:00:00+00:00,47153.0512622562,442.837984932203
100,btc,2014-04-11 00:00:00+00:00,51412.0365375568,366.911866063413
101,btc,2014-04-12 00:00:00+00:00,48978.3306659564,421.943528071303
102,btc,2014-04-13 00:00:00+00:00,56887.8747486575,424.274212647575
103,btc,2014-04-14 00:00:00+00:00,58713.1541523577,416.362321654004
104,btc,2014-04-15 00:00:00+00:00,55366.8085789073,461.108246586649
105,btc,2014-04-16 00:00:00+00:00,48369.9041980563,521.615299606078
106,btc,2014-04-17 00:00:00+00:00,53376.5546672988,531.481846731999
107,btc,2014-04-18 00:00:00+00:00,55507.2239702395,499.837551544721
108,btc,2014-04-19 00:00:00+00:00,55160.3038204255,483.020013533606
109,btc,2014-04-20 00:00:00+00:00,61751.7866668914,504.365595178488
110,btc,2014-04-21 00:00:00+00:00,59323.3456181934,501.55718444916
111,btc,2014-04-22 00:00:00+00:00,53425.7030713555,498.084530300994
112,btc,2014-04-23 00:00:00+00:00,57241.8247193095,489.503510029223
113,btc,2014-04-24 00:00:00+00:00,52384.9426219135,490.63296754332
114,btc,2014-04-25 00:00:00+00:00,63139.4672661473,503.291801028638
115,btc,2014-04-26 00:00:00+00:00,56547.9844196815,466.426171344243
116,btc,2014-04-27 00:00:00+00:00,61404.8665170774,459.22670981882
117,btc,2014-04-28 00:00:00+00:00,52731.8627717276,438.709363717287
118,btc,2014-04-29 00:00:00+00:00,59983.8153155768,441.547805468089
119,btc,2014-04-30 00:00:00+00:00,54488.3950277099,447.709930772047
120,btc,2014-05-01 00:00:00+00:00,69999.6899626057,448.875715514009
121,btc,2014-05-02 00:00:00+00:00,64033.8072953381,460.194698255991
122,btc,2014-05-03 00:00:00+00:00,56477.0225834658,452.239779761701
123,btc,2014-05-04 00:00:00+00:00,60056.5521838263,438.978588005844
124,btc,2014-05-05 00:00:00+00:00,49715.6888938959,436.675398644705
125,btc,2014-05-06 00:00:00+00:00,77158.7491633268,432.338179035394
126,btc,2014-05-07 00:00:00+00:00,63238.3562730357,430.128205394506
127,btc,2014-05-08 00:00:00+00:00,66420.1603622451,442.18287609585
128,btc,2014-05-09 00:00:00+00:00,67613.3368956986,440.402762711864
129,btc,2014-05-10 00:00:00+00:00,71192.8664960592,452.697999723553
130,btc,2014-05-11 00:00:00+00:00,60454.2776949775,456.75584628872
131,btc,2014-05-12 00:00:00+00:00,68363.1186819926,439.114476037405
132,btc,2014-05-13 00:00:00+00:00,71297.1253229566,441.280955581531
133,btc,2014-05-14 00:00:00+00:00,66015.8567805154,439.005774985389
134,btc,2014-05-15 00:00:00+00:00,75258.0767297874,444.848205727645
135,btc,2014-05-16 00:00:00+00:00,79659.1338484884,446.96155873758
136,btc,2014-05-17 00:00:00+00:00,76138.2881535276,448.74215371128
137,btc,2014-05-18 00:00:00+00:00,75698.1824416575,449.2222893045
138,btc,2014-05-19 00:00:00+00:00,73937.7595941772,446.962641437756
139,btc,2014-05-20 00:00:00+00:00,77898.711001008,447.404856808884
140,btc,2014-05-21 00:00:00+00:00,77018.4995772678,490.335648158971
141,btc,2014-05-22 00:00:00+00:00,75698.1824416575,493.933491817651
142,btc,2014-05-23 00:00:00+00:00,72617.4424585669,526.81428842782
143,btc,2014-05-24 00:00:00+00:00,73989.0541480983,523.699320280538
144,btc,2014-05-25 00:00:00+00:00,83680.823428221,527.691243132671
145,btc,2014-05-26 00:00:00+00:00,82121.5534264529,573.312458796026
146,btc,2014-05-27 00:00:00+00:00,70686.9067468202,584.847974868498
147,btc,2014-05-28 00:00:00+00:00,87838.8767662692,573.928269245471
148,btc,2014-05-29 00:00:00+00:00,73285.6900831003,579.189318819404
